order_id,user_id,amount,category,product,event_time,status
D00053,U1007,846.54,旅行,酒店,2026-01-01T10:00:00,paid
D00054,U1007,820.53,旅行,酒店,2026-01-01T10:00:00,paid
D00055,U1007,1079.29,旅行,机票,2026-01-01T10:00:00,paid
D00056,U1007,560.77,旅行,酒店,2026-01-01T10:00:00,paid
D00057,U1007,583.34,旅行,机票,2026-01-01T10:00:00,paid
D00058,U1007,675.33,旅行,酒店,2026-01-01T10:00:00,paid
D00059,U1007,878.3,旅行,机票,2026-01-01T10:00:00,paid
D00060,U1007,963.43,旅行,机票,2026-01-01T10:00:00,paid
D00061,U1008,580.89,旅行,酒店,2026-01-01T10:00:00,paid
D00062,U1008,687.11,旅行,酒店,2026-01-01T10:00:00,paid
D00063,U1008,690.03,旅行,酒店,2026-01-01T10:00:00,paid
D00064,U1008,831.12,旅行,机票,2026-01-01T10:00:00,paid
D00065,U1008,637.42,旅行,机票,2026-01-01T10:00:00,paid
D00066,U1008,307.05,旅行,机票,2026-01-01T10:00:00,paid
D00067,U1008,414.53,旅行,机票,2026-01-01T10:00:00,paid
D00068,U1008,263.13,旅行,机票,2026-01-01T10:00:00,paid
D00069,U1008,405.55,旅行,酒店,2026-01-01T10:00:00,paid
D00070,U1009,631.79,旅行,机票,2026-01-01T10:00:00,paid
D00071,U1009,434.82,旅行,酒店,2026-01-01T10:00:00,paid
D00072,U1009,860.52,旅行,酒店,2026-01-01T10:00:00,paid
D00073,U1009,860.55,旅行,酒店,2026-01-01T10:00:00,paid
D00074,U1009,548.15,旅行,机票,2026-01-01T10:00:00,paid
D00075,U1009,718.71,旅行,机票,2026-01-01T10:00:00,paid
D00076,U1010,696.47,旅行,机票,2026-01-01T10:00:00,paid
D00077,U1010,999.69,旅行,机票,2026-01-01T10:00:00,paid
D00078,U1010,694.45,旅行,机票,2026-01-01T10:00:00,paid
D00079,U1010,726.99,旅行,机票,2026-01-01T10:00:00,paid
D00080,U1010,701.18,旅行,酒店,2026-01-01T10:00:00,paid
D00081,U1010,515.83,旅行,机票,2026-01-01T10:00:00,paid
D00082,U1010,665.36,旅行,酒店,2026-01-01T10:00:00,paid
D00083,U1010,362.85,旅行,机票,2026-01-01T10:00:00,paid
D00084,U1010,600.19,旅行,酒店,2026-01-01T10:00:00,paid
D00085,U1011,726.87,旅行,酒店,2026-01-01T10:00:00,paid
D00086,U1011,555.97,旅行,机票,2026-01-01T10:00:00,paid
D00087,U1011,552.06,旅行,酒店,2026-01-01T10:00:00,paid
D00088,U1011,846.45,旅行,机票,2026-01-01T10:00:00,paid
D00089,U1011,985.69,旅行,机票,2026-01-01T10:00:00,paid
D00090,U1011,802.4,旅行,机票,2026-01-01T10:00:00,paid
D00091,U1012,761.67,旅行,机票,2026-01-01T10:00:00,paid
D00092,U1012,887.07,旅行,酒店,2026-01-01T10:00:00,paid
D00093,U1012,652.41,旅行,机票,2026-01-01T10:00:00,paid
D00094,U1012,832.19,旅行,机票,2026-01-01T10:00:00,paid
D00095,U1012,823.19,旅行,酒店,2026-01-01T10:00:00,paid
D00096,U1012,304.8,旅行,机票,2026-01-01T10:00:00,paid
D00097,U1013,1137.15,旅行,机票,2026-01-01T10:00:00,paid
D00098,U1013,589.8,旅行,机票,2026-01-01T10:00:00,paid
D00099,U1013,485.5,旅行,机票,2026-01-01T10:00:00,paid
D00100,U1013,809.67,旅行,酒店,2026-01-01T10:00:00,paid
D00101,U1013,686.85,旅行,机票,2026-01-01T10:00:00,paid
D00102,U1014,691.52,旅行,酒店,2026-01-01T10:00:00,paid
D00103,U1014,610.79,旅行,酒店,2026-01-01T10:00:00,paid
D00104,U1014,987.37,旅行,酒店,2026-01-01T10:00:00,paid
D00105,U1014,732.71,旅行,机票,2026-01-01T10:00:00,paid
D00106,U1014,812.88,旅行,机票,2026-01-01T10:00:00,paid
D00107,U1014,679.11,旅行,机票,2026-01-01T10:00:00,paid
D00108,U1014,610.01,旅行,酒店,2026-01-01T10:00:00,paid
D00109,U1014,907.56,旅行,机票,2026-01-01T10:00:00,paid
D00110,U1015,764.98,旅行,机票,2026-01-01T10:00:00,paid
D00111,U1015,612.35,旅行,机票,2026-01-01T10:00:00,paid
D00112,U1015,546.8,旅行,机票,2026-01-01T10:00:00,paid
D00113,U1015,628.9,旅行,机票,2026-01-01T10:00:00,paid
D00114,U1015,652.36,旅行,机票,2026-01-01T10:00:00,paid
D00115,U1015,535.27,旅行,酒店,2026-01-01T10:00:00,paid
D00116,U1016,460.05,旅行,酒店,2026-01-01T10:00:00,paid
D00117,U1016,594.38,旅行,机票,2026-01-01T10:00:00,paid
D00118,U1016,524.89,旅行,酒店,2026-01-01T10:00:00,paid
D00119,U1016,879.93,旅行,酒店,2026-01-01T10:00:00,paid
D00120,U1016,895.27,旅行,酒店,2026-01-01T10:00:00,paid
D00121,U1016,1111.21,旅行,酒店,2026-01-01T10:00:00,paid
D00122,U1016,473.83,旅行,机票,2026-01-01T10:00:00,paid
D00123,U1017,806.55,旅行,机票,2026-01-01T10:00:00,paid
D00124,U1017,742.75,旅行,酒店,2026-01-01T10:00:00,paid
D00125,U1017,1064.34,旅行,机票,2026-01-01T10:00:00,paid
D00126,U1017,508.67,旅行,机票,2026-01-01T10:00:00,paid
D00127,U1017,632.23,旅行,酒店,2026-01-01T10:00:00,paid
D00128,U1017,893.79,旅行,酒店,2026-01-01T10:00:00,paid
D00129,U1017,551.97,旅行,机票,2026-01-01T10:00:00,paid
D00130,U1017,454.34,旅行,机票,2026-01-01T10:00:00,paid
D00131,U1018,752.64,旅行,酒店,2026-01-01T10:00:00,paid
D00132,U1018,744.39,旅行,机票,2026-01-01T10:00:00,paid
D00133,U1018,652.19,旅行,酒店,2026-01-01T10:00:00,paid
D00134,U1018,817.52,旅行,酒店,2026-01-01T10:00:00,paid
D00135,U1018,527.14,旅行,机票,2026-01-01T10:00:00,paid
D00136,U1018,310.99,旅行,酒店,2026-01-01T10:00:00,paid
D00137,U2001,35.38,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00138,U2001,32.83,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00139,U2001,42.42,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00140,U2001,28.32,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00141,U2001,27.41,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00142,U2001,17.38,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00143,U2001,43.44,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00144,U2002,41.08,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00145,U2002,33.63,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00146,U2002,18.43,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00147,U2002,33.02,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00148,U2002,33.18,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00149,U2002,29.58,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00150,U2002,34.17,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00151,U2002,31.28,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00152,U2002,10.87,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00153,U2002,33.51,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00154,U2003,25.22,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00155,U2003,41.55,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00156,U2003,30.13,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00157,U2003,33.41,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00158,U2003,12.11,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00159,U2003,35.05,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00160,U2004,38.99,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00161,U2004,30.67,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00162,U2004,43.24,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00163,U2004,22.91,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00164,U2004,42.07,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00165,U2004,33.44,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00166,U2004,28.82,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00167,U2004,42.44,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00168,U2005,11.49,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00169,U2005,21.07,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00170,U2005,13.38,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00171,U2005,44.69,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00172,U2005,42.78,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00173,U2005,38.99,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00174,U2005,30.69,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00175,U2006,8.0,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00176,U2006,37.42,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00177,U2006,32.4,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00178,U2006,24.78,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00179,U2006,47.15,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00180,U2006,28.2,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00181,U2006,9.39,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00182,U2006,36.57,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00183,U2006,25.76,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00184,U2006,24.29,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00185,U2007,24.28,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00186,U2007,21.53,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00187,U2007,32.44,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00188,U2007,39.6,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00189,U2007,22.68,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00190,U2007,23.28,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00191,U2007,25.95,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00192,U2007,36.67,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00193,U2007,16.23,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00194,U2008,32.51,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00195,U2008,24.28,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00196,U2008,22.23,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00197,U2008,33.84,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00198,U2008,15.26,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00199,U2008,29.65,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00200,U2008,23.55,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00201,U2008,39.49,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00202,U2008,26.84,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00203,U2009,36.3,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00204,U2009,20.79,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00205,U2009,24.17,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00206,U2009,30.8,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00207,U2009,29.05,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00208,U2009,22.19,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00209,U2009,10.44,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00210,U2009,21.38,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00211,U2010,31.96,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00212,U2010,16.18,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00213,U2010,17.83,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00214,U2010,19.29,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00215,U2010,39.07,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00216,U2010,19.66,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00217,U2010,27.63,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00218,U2010,34.32,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00219,U2011,23.29,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00220,U2011,23.19,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00221,U2011,28.74,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00222,U2011,35.56,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00223,U2011,32.82,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00224,U2011,34.7,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00225,U2011,35.91,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00226,U2011,31.38,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00227,U2011,42.69,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00228,U2012,34.06,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00229,U2012,8.12,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00230,U2012,30.9,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00231,U2012,40.59,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00232,U2012,11.44,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00233,U2012,21.31,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00234,U2012,28.5,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00235,U2012,18.43,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00236,U2013,36.03,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00237,U2013,48.65,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00238,U2013,16.57,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00239,U2013,17.62,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00240,U2013,21.24,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00241,U2013,34.15,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00242,U2013,35.04,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00243,U2013,23.8,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00244,U2014,31.99,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00245,U2014,24.35,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00246,U2014,48.32,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00247,U2014,32.82,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00248,U2014,19.85,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00249,U2014,28.51,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00250,U2014,31.13,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00251,U2015,28.53,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00252,U2015,29.62,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00253,U2015,36.77,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00254,U2015,36.91,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00255,U2015,23.52,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00256,U2016,14.38,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00257,U2016,31.92,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00258,U2016,27.12,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00259,U2016,11.69,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00260,U2016,19.59,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00261,U2016,33.21,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00262,U2017,25.99,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00263,U2017,25.68,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00264,U2017,21.27,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00265,U2017,22.91,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00266,U2017,35.28,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00267,U2017,20.33,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00268,U2017,27.71,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00269,U2017,44.85,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00270,U2017,41.16,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00271,U2018,15.44,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00272,U2018,33.39,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00273,U2018,12.68,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00274,U2018,31.44,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00275,U2018,37.44,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00276,U2018,15.29,奶茶,多肉葡萄,2026-01-01T10:00:00,paid
D00277,U2018,32.62,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00278,U2018,23.75,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00279,U2018,22.93,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00280,U2018,36.4,奶茶,珍珠奶茶,2026-01-01T10:00:00,paid
D00281,U3001,36.05,咖啡,拿铁,2026-01-01T10:00:00,paid
D00282,U3001,48.68,咖啡,拿铁,2026-01-01T10:00:00,paid
D00283,U3001,42.9,咖啡,拿铁,2026-01-01T10:00:00,paid
D00284,U3001,21.81,咖啡,拿铁,2026-01-01T10:00:00,paid
D00285,U3001,25.78,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00286,U3001,31.35,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00287,U3002,15.87,咖啡,拿铁,2026-01-01T10:00:00,paid
D00288,U3002,33.16,咖啡,拿铁,2026-01-01T10:00:00,paid
D00289,U3002,30.3,咖啡,拿铁,2026-01-01T10:00:00,paid
D00290,U3002,32.57,咖啡,拿铁,2026-01-01T10:00:00,paid
D00291,U3002,26.09,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00292,U3002,36.05,咖啡,拿铁,2026-01-01T10:00:00,paid
D00293,U3002,23.68,咖啡,拿铁,2026-01-01T10:00:00,paid
D00294,U3002,29.09,咖啡,拿铁,2026-01-01T10:00:00,paid
D00295,U3002,29.77,咖啡,拿铁,2026-01-01T10:00:00,paid
D00296,U3002,24.7,咖啡,拿铁,2026-01-01T10:00:00,paid
D00297,U3003,30.5,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00298,U3003,23.78,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00299,U3003,34.32,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00300,U3003,42.8,咖啡,拿铁,2026-01-01T10:00:00,paid
D00301,U3003,35.99,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00302,U3003,25.01,咖啡,拿铁,2026-01-01T10:00:00,paid
D00303,U3004,43.82,咖啡,拿铁,2026-01-01T10:00:00,paid
D00304,U3004,33.05,咖啡,拿铁,2026-01-01T10:00:00,paid
D00305,U3004,44.03,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00306,U3004,30.04,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00307,U3004,33.21,咖啡,拿铁,2026-01-01T10:00:00,paid
D00308,U3004,32.91,咖啡,拿铁,2026-01-01T10:00:00,paid
D00309,U3005,26.29,咖啡,拿铁,2026-01-01T10:00:00,paid
D00310,U3005,34.24,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00311,U3005,42.2,咖啡,拿铁,2026-01-01T10:00:00,paid
D00312,U3005,28.04,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00313,U3005,19.42,咖啡,拿铁,2026-01-01T10:00:00,paid
D00314,U3005,32.65,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00315,U3005,39.31,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00316,U3005,41.95,咖啡,拿铁,2026-01-01T10:00:00,paid
D00317,U3006,44.01,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00318,U3006,43.06,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00319,U3006,22.12,咖啡,拿铁,2026-01-01T10:00:00,paid
D00320,U3006,35.18,咖啡,拿铁,2026-01-01T10:00:00,paid
D00321,U3006,28.93,咖啡,拿铁,2026-01-01T10:00:00,paid
D00322,U3007,30.59,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00323,U3007,26.69,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00324,U3007,26.66,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00325,U3007,32.77,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00326,U3007,44.14,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00327,U3007,19.68,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00328,U3007,39.98,咖啡,拿铁,2026-01-01T10:00:00,paid
D00329,U3007,39.75,咖啡,拿铁,2026-01-01T10:00:00,paid
D00330,U3007,33.61,咖啡,拿铁,2026-01-01T10:00:00,paid
D00331,U3007,38.31,咖啡,拿铁,2026-01-01T10:00:00,paid
D00332,U3008,35.03,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00333,U3008,37.15,咖啡,拿铁,2026-01-01T10:00:00,paid
D00334,U3008,36.52,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00335,U3008,33.71,咖啡,拿铁,2026-01-01T10:00:00,paid
D00336,U3008,28.72,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00337,U3008,17.2,咖啡,拿铁,2026-01-01T10:00:00,paid
D00338,U3008,21.93,咖啡,拿铁,2026-01-01T10:00:00,paid
D00339,U3009,23.98,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00340,U3009,33.6,咖啡,拿铁,2026-01-01T10:00:00,paid
D00341,U3009,20.8,咖啡,拿铁,2026-01-01T10:00:00,paid
D00342,U3009,31.97,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00343,U3009,44.01,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00344,U3009,21.99,咖啡,拿铁,2026-01-01T10:00:00,paid
D00345,U3009,52.61,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00346,U3009,45.32,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00347,U3010,17.54,咖啡,拿铁,2026-01-01T10:00:00,paid
D00348,U3010,24.49,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00349,U3010,21.7,咖啡,拿铁,2026-01-01T10:00:00,paid
D00350,U3010,30.77,咖啡,拿铁,2026-01-01T10:00:00,paid
D00351,U3010,42.27,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00352,U3010,31.8,咖啡,拿铁,2026-01-01T10:00:00,paid
D00353,U3010,22.34,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00354,U3010,33.84,咖啡,拿铁,2026-01-01T10:00:00,paid
D00355,U3010,37.38,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00356,U3010,25.31,咖啡,拿铁,2026-01-01T10:00:00,paid
D00357,U3011,36.72,咖啡,拿铁,2026-01-01T10:00:00,paid
D00358,U3011,20.82,咖啡,拿铁,2026-01-01T10:00:00,paid
D00359,U3011,28.65,咖啡,美式咖啡,2026-01-01T10:00:00,paid
D00360,U3011,39.8,咖啡,拿铁,2026-01-01T10:00:00,paid
